hablar,bailar,comprar,estudiar,tomar,descansar,trabajar,llevar
comer,aprender,comprender,meter,vender,,,
vivir,asistir,decidir,existir,invadir,recibir,subir,
estar,,,,,,,
ser,,,,,,,
ir,,,,,,,
dar,,,,,,,
ver,,,,,,,
perder,cerrar,confesar,defender,entender,pensar,,
contar,demostrar,encontrar,probar,recordar,volver,,
preferir,convertir,divertir,interferir,mentir,sentir,,
competir,impedir,medir,pedir,vestir,,,
dormir,morir,,,,,,
decir,,,,,,,
hacer,deshacer,,,,,,
querer,,,,,,,
saber,,,,,,,
tener,contener,detener,mantener,obtener,,,
venir,intervenir,prevenir,,,,,
poder,,,,,,,
poner,exponer,oponer,proponer,suponer,,,
traer,contraer,distraer,,,,,
reducir,conducir,introducir,producir,traducir,,,
salir,,,,,,,
conocer,crecer,nacer,ofrecer,parecer,,,
construir,destruir,huir,incluir,,,,
creer,caer,leer,poseer,,,,
oír,,,,,,,
reír,freír,sonreír,,,,,
pagar,llegar,pegar,,,,,
jugar,,,,,,,
distinguir,conseguir,extinguir,seguir,,,,
cruzar,abrazar,cazar,organizar,,,,
convencer,ejercer,esparcir,vencer,zurcir,,,
buscar,aplicar,clasificar,sacar,tocar,,,
proteger,dirigir,escoger,exigir,recoger,regir,,
averiguar,aguar,apaciguar,atestiguar,,,,
enviar,criar,guiar,variar,,,,
continuar,actuar,evaluar,graduar,perpetuar,,,
